Ax,Ay,Az,Gx,Gy,Gz,Label
-0.007,0.032,1.013,0.525,-2.345,1.251,IDLE
-0.007,0.025,1.036,0.613,-2.293,1.278,IDLE
-0.002,0.024,1.017,0.49,-2.31,1.295,IDLE
-0.006,0.027,1.016,0.438,-2.345,1.278,IDLE
-0.002,0.025,1.015,0.525,-2.31,1.234,IDLE
-0.008,0.025,1.018,0.543,-2.362,1.26,IDLE
-0.003,0.027,1.016,0.56,-2.301,1.199,IDLE
-0.002,0.024,1.019,0.613,-2.371,1.26,IDLE
-0.004,0.028,1.024,0.647,-2.345,1.225,IDLE
-0.004,0.026,1.017,0.499,-2.328,1.242,IDLE
-0.004,0.025,1.017,0.49,-2.336,1.339,IDLE
-0.005,0.025,1.017,0.543,-2.284,1.278,IDLE
-0.004,0.027,1.018,0.525,-2.301,1.269,IDLE
-0.004,0.027,1.017,0.464,-2.336,1.269,IDLE
-0.005,0.026,1.019,0.42,-2.345,1.251,IDLE
-0.004,0.025,1.016,0.446,-2.319,1.269,IDLE
-0.006,0.025,1.021,0.455,-2.328,1.269,IDLE
0,0.027,1.019,0.543,-2.301,1.26,IDLE
-0.005,0.025,1.018,0.446,-2.336,1.304,IDLE
-0.003,0.025,1.018,0.499,-2.293,1.234,IDLE
-0.005,0.025,1.018,0.551,-2.31,1.26,IDLE
-0.004,0.025,1.014,0.56,-2.31,1.242,IDLE
-0.004,0.026,1.016,0.507,-2.336,1.234,IDLE
-0.004,0.024,1.018,0.499,-2.328,1.234,IDLE
-0.004,0.025,1.019,0.472,-2.275,1.242,IDLE
-0.005,0.025,1.022,0.604,-2.284,1.278,IDLE
-0.004,0.025,1.012,0.411,-2.336,1.251,IDLE
-0.003,0.025,1.019,0.507,-2.362,1.234,IDLE
-0.002,0.024,1.017,0.49,-2.31,1.278,IDLE
-0.006,0.026,1.02,0.499,-2.328,1.242,IDLE
-0.005,0.025,1.016,0.534,-2.328,1.242,IDLE
-0.004,0.026,1.02,0.534,-2.336,1.234,IDLE
-0.004,0.025,1.018,0.49,-2.319,1.225,IDLE
-0.004,0.026,1.019,0.525,-2.319,1.304,IDLE
-0.007,0.024,1.018,0.543,-2.336,1.409,IDLE
-0.003,0.025,1.016,0.551,-2.336,1.304,IDLE
-0.005,0.025,1.017,0.525,-2.345,1.251,IDLE
-0.004,0.026,1.018,0.56,-2.319,1.234,IDLE
-0.004,0.025,1.014,0.621,-2.301,1.26,IDLE
-0.004,0.025,1.015,0.665,-2.284,1.242,IDLE
-0.004,0.027,1.02,0.831,-2.266,1.225,IDLE
-0.006,0.025,1.019,0.551,-2.354,1.242,IDLE
-0.003,0.026,1.014,0.516,-2.345,1.242,IDLE
-0.003,0.026,1.016,0.621,-2.284,1.225,IDLE
-0.006,0.028,1.03,0.647,-2.301,1.269,IDLE
-0.005,0.025,1.019,0.446,-2.328,1.234,IDLE
-0.003,0.027,1.015,0.49,-2.301,1.207,IDLE
-0.002,0.025,1.014,0.472,-2.336,1.207,IDLE
-0.006,0.026,1.019,0.516,-2.31,1.225,IDLE
-0.004,0.027,1.02,0.569,-2.336,1.234,IDLE
-0.004,0.026,1.015,0.472,-2.354,1.225,IDLE
-0.005,0.025,1.017,0.551,-2.354,1.242,IDLE
-0.005,0.026,1.018,0.534,-2.284,1.251,IDLE
-0.003,0.026,1.017,0.551,-2.293,1.251,IDLE
-0.005,0.026,1.018,0.56,-2.301,1.225,IDLE
-0.004,0.026,1.018,0.577,-2.301,1.225,IDLE
-0.003,0.026,1.014,0.569,-2.336,1.26,IDLE
-0.005,0.026,1.022,0.577,-2.301,1.269,IDLE
-0.006,0.026,1.013,0.534,-2.293,1.251,IDLE
-0.006,0.026,1.018,0.621,-2.284,1.242,IDLE
-0.003,0.026,1.015,0.411,-2.293,1.251,IDLE
-0.001,0.025,1.017,0.56,-2.336,1.225,IDLE
-0.006,0.026,1.019,0.577,-2.319,1.225,IDLE
-0.005,0.027,1.012,0.481,-2.354,1.207,IDLE
-0.005,0.026,1.018,0.507,-2.301,1.207,IDLE
-0.004,0.027,1.019,0.429,-2.31,1.216,IDLE
-0.004,0.026,1.017,0.516,-2.336,1.216,IDLE
-0.005,0.026,1.019,0.464,-2.354,1.242,IDLE
-0.005,0.024,1.017,0.516,-2.345,1.251,IDLE
-0.005,0.025,1.016,0.569,-2.301,1.234,IDLE
-0.006,0.026,1.021,0.499,-2.345,1.242,IDLE
-0.002,0.026,1.017,0.507,-2.328,1.216,IDLE
-0.005,0.026,1.014,0.569,-2.319,1.207,IDLE
-0.005,0.026,1.022,0.516,-2.301,1.199,IDLE
-0.002,0.025,1.015,0.446,-2.31,1.207,IDLE
-0.006,0.025,1.022,0.49,-2.371,1.181,IDLE
-0.004,0.025,1.015,0.499,-2.31,1.216,IDLE
-0.004,0.026,1.02,0.481,-2.328,1.207,IDLE
-0.006,0.026,1.018,0.595,-2.31,1.225,IDLE
0.001,0.027,1.015,0.499,-2.328,1.251,IDLE
-0.009,0.026,1.021,0.481,-2.362,1.225,IDLE
-0.003,0.026,1.018,0.455,-2.345,1.207,IDLE
-0.006,0.025,1.019,0.507,-2.345,1.173,IDLE
-0.003,0.025,1.018,0.577,-2.319,1.234,IDLE
-0.005,0.024,1.013,0.569,-2.301,1.164,IDLE
-0.004,0.026,1.021,0.63,-2.336,1.19,IDLE
-0.004,0.025,1.018,0.534,-2.336,1.216,IDLE
-0.004,0.027,1.018,0.595,-2.336,1.155,IDLE
-0.005,0.026,1.017,0.551,-2.336,1.199,IDLE
-0.006,0.026,1.016,0.543,-2.345,1.207,IDLE
-0.003,0.026,1.015,0.569,-2.336,1.234,IDLE
-0.005,0.025,1.017,0.569,-2.293,1.216,IDLE
-0.006,0.026,1.024,0.446,-2.31,1.19,IDLE
-0.004,0.026,1.017,0.507,-2.371,1.242,IDLE
-0.003,0.025,1.016,0.543,-2.328,1.234,IDLE
-0.005,0.026,1.019,0.551,-2.336,1.242,IDLE
-0.004,0.026,1.016,0.516,-2.328,1.199,IDLE
-0.005,0.026,1.019,0.543,-2.319,1.19,IDLE
-0.003,0.025,1.016,0.472,-2.328,1.181,IDLE
-0.004,0.027,1.018,0.499,-2.319,1.146,IDLE
-0.004,0.026,1.017,0.499,-2.328,1.225,IDLE
-0.006,0.026,1.019,0.577,-2.293,1.216,IDLE
-0.002,0.026,1.017,0.481,-2.293,1.225,IDLE
-0.007,0.026,1.02,0.63,-2.319,1.216,IDLE
-0.004,0.025,1.017,0.647,-2.301,1.19,IDLE
-0.004,0.027,1.018,0.525,-2.336,1.225,IDLE
-0.005,0.026,1.016,0.516,-2.336,1.19,IDLE
-0.006,0.025,1.022,0.481,-2.31,1.225,IDLE
-0.002,0.024,1.014,0.455,-2.328,1.181,IDLE
-0.005,0.027,1.016,0.455,-2.345,1.234,IDLE
-0.003,0.026,1.019,0.438,-2.31,1.207,IDLE
-0.004,0.026,1.016,0.499,-2.345,1.234,IDLE
-0.007,0.024,1.019,0.481,-2.328,1.19,IDLE
-0.006,0.024,1.02,0.464,-2.345,1.216,IDLE
-0.004,0.027,1.014,0.525,-2.293,1.181,IDLE
-0.001,0.027,1.017,0.481,-2.319,1.216,IDLE
-0.003,0.026,1.017,0.516,-2.31,1.269,IDLE
-0.005,0.026,1.017,0.507,-2.328,1.225,IDLE
-0.005,0.026,1.017,0.507,-2.31,1.234,IDLE
-0.005,0.025,1.018,0.551,-2.336,1.234,IDLE
-0.006,0.025,1.015,0.56,-2.301,1.173,IDLE
-0.004,0.026,1.018,0.516,-2.328,1.234,IDLE
-0.004,0.025,1.018,0.481,-2.284,1.225,IDLE
-0.005,0.025,1.018,0.516,-2.293,1.278,IDLE
-0.003,0.026,1.019,0.525,-2.31,1.216,IDLE
-0.005,0.026,1.015,0.481,-2.319,1.242,IDLE
-0.005,0.025,1.018,0.481,-2.31,1.269,IDLE
-0.004,0.025,1.017,0.446,-2.336,1.234,IDLE
-0.005,0.026,1.019,0.586,-2.336,1.251,IDLE
-0.004,0.027,1.018,0.543,-2.293,1.225,IDLE
-0.004,0.025,1.017,0.499,-2.328,1.269,IDLE
-0.004,0.026,1.018,0.543,-2.354,1.269,IDLE
-0.006,0.025,1.016,0.507,-2.319,1.251,IDLE
-0.004,0.026,1.018,0.577,-2.275,1.216,IDLE
-0.003,0.025,1.017,0.586,-2.336,1.242,IDLE
-0.006,0.026,1.017,0.569,-2.336,1.251,IDLE
-0.003,0.026,1.016,0.569,-2.345,1.207,IDLE
-0.004,0.026,1.019,0.516,-2.328,1.26,IDLE
-0.004,0.026,1.015,0.438,-2.31,1.207,IDLE
-0.005,0.025,1.017,0.472,-2.301,1.242,IDLE
-0.004,0.026,1.017,0.49,-2.257,1.242,IDLE
-0.005,0.026,1.016,0.551,-2.31,1.199,IDLE
-0.004,0.025,1.02,0.569,-2.354,1.225,IDLE
-0.006,0.026,1.016,0.499,-2.328,1.216,IDLE
-0.005,0.026,1.017,0.534,-2.328,1.251,IDLE
-0.005,0.026,1.016,0.534,-2.31,1.242,IDLE
-0.005,0.026,1.017,0.577,-2.336,1.216,IDLE
-0.004,0.026,1.017,0.551,-2.336,1.216,IDLE
-0.005,0.025,1.015,0.499,-2.293,1.242,IDLE
-0.006,0.027,1.021,0.577,-2.275,1.251,IDLE
-0.005,0.026,1.015,0.525,-2.293,1.26,IDLE
-0.005,0.027,1.019,0.516,-2.266,1.251,IDLE
-0.003,0.027,1.019,0.507,-2.31,1.234,IDLE
-0.004,0.026,1.017,0.446,-2.301,1.251,IDLE
